player_name,player_name_season,season,plus_minus,minutes,pat,player_minutes_category,pie_pra,mantrap,santrap,primary_team_name,example_sentence
Kevin Huerter,"Kevin Huerter, 2024",2024,104,1679,0.005903274,Starter,0.066085648,0.151598161,0.399853836,Sacramento Kings,
Chandler Hutchison,"Chandler Hutchison, 2018",2018,-115,894.5333333,0.102958035,All,0.039693547,0.078464024,0.352323736,Chicago Bulls,
Chandler Hutchison,"Chandler Hutchison, 2019",2019,-143,526.7333333,-0.171187886,All,0.035079327,0.023108265,0.158631198,Chicago Bulls,
Chandler Hutchison,"Chandler Hutchison, 2020",2020,-49,326.2,-0.183029064,All,0.019034537,0.047178293,0.378734381,Washington Wizards,
Chandler Hutchison,"Chandler Hutchison, 2021",2021,15,22.36666667,0.524807501,All,0.002042168,0.002690433,0.382706458,Phoenix Suns,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2018",2018,-110,1517.75,-0.012167149,Starter,0.082678329,0.146578678,0.384183837,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2019",2019,-117,1641.6,-0.055700996,Starter,0.086926566,0.151400072,0.391441821,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2020",2020,-64,258.4,-0.105632564,All,0.023215656,0.058649468,0.395236178,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2021",2021,339,2096.95,0.042180053,Star,0.113089281,0.403062993,0.638470093,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2022",2022,298,1449,0.089705457,Starter,0.100765391,0.360630822,0.618015523,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2023",2023,-340,2124,-0.018070931,Star,0.140079126,0.180205927,0.445306986,Memphis Grizzlies,
Jaren Jackson Jr.,"Jaren Jackson Jr., 2024",2024,330,2204,0.044301847,Star,0.12747906,0.534268618,0.734304589,Memphis Grizzlies,
Alize Johnson,"Alize Johnson, 2018",2018,-15,35.68333333,-0.580954594,All,0.010412174,0.002057449,0.210059755,Indiana Pacers,
Alize Johnson,"Alize Johnson, 2019",2019,25,117.7166667,0.175720615,All,0.018505609,0.00765578,0.146630699,Indiana Pacers,
Alize Johnson,"Alize Johnson, 2020",2020,-18,188.6666667,-0.16040636,All,0.014162904,0.049123575,0.382584136,Brooklyn Nets,
Alize Johnson,"Alize Johnson, 2021",2021,-45,167.1833333,-0.35707182,All,0.013299013,0.023271097,0.344346149,Chicago Bulls,
Alize Johnson,"Alize Johnson, 2022",2022,12,30,0.686458333,All,0.002847222,0.004671466,0.374268841,San Antonio Spurs,
George King,"George King, 2018",2018,-9,5.9,-1.216698897,All,0.002514225,8.49E-05,0.137618506,Phoenix Suns,
