head_node_type,head_node_schema,head_node_name,tail_node_type,tail_node_schema,tail_node_schema,head_node_verbose,tail_node_verbose
stored procedure,dbo,create_team,table,dbo,team,stored procedure dbo.create_team,table dbo.team
table,dbo,team_score,stored procedure,dbo,create_team_regular_season,table dbo.team_score,stored procedure dbo.create_team_regular_season
table,dbo,team,stored procedure,dbo,create_team_regular_season,table dbo.team,stored procedure dbo.create_team_regular_season
stored procedure,dbo,create_team_regular_season,table,dbo,team_regular_season,stored procedure dbo.create_team_regular_season,table dbo.team_regular_season
table,clean,scores,stored procedure,dbo,create_team_score,table clean.scores,stored procedure dbo.create_team_score
stored procedure,dbo,create_team_score,table,dbo,team_score,stored procedure dbo.create_team_score,table dbo.team_score
table,stg,player_game_stats,stored procedure,trf,transfer_player_game_stats,table stg.player_game_stats,stored procedure trf.transfer_player_game_stats
stored procedure,trf,transfer_player_game_stats,table,dbo,player_game_stats,stored procedure trf.transfer_player_game_stats,table dbo.player_game_stats
table,stg,scores,stored procedure,trf,transfer_scores,table stg.scores,stored procedure trf.transfer_scores
stored procedure,trf,transfer_scores,table,dbo,scores,stored procedure trf.transfer_scores,table dbo.scores
table,clean,player_game_stats,view,bi,player_game_stats_pat,table clean.player_game_stats,view bi.player_game_stats_pat
view,bi,season,dashboard,,Player PAT,view bi.season,dashboard Player PAT
view,bi,player,dashboard,,Player PAT,view bi.player,dashboard Player PAT
view,bi,player_regular_season_pat_stats,dashboard,,Player PAT,view bi.player_regular_season_pat_stats,dashboard Player PAT
view,bi,player_game_stats_pat,dashboard,,Player PAT,view bi.player_game_stats_pat,dashboard Player PAT
view,bi,player_season_primary_and_concat_team,dashboard,,Player PAT,view bi.player_season_primary_and_concat_team,dashboard Player PAT
view,bi,team,dashboard,,Player PAT,view bi.team,dashboard Player PAT
view,bi,regular_season_pat_rankings_superstars_and_stars,dashboard,,Player PAT,view bi.regular_season_pat_rankings_superstars_and_stars,dashboard Player PAT
view,bi,player,dashboard,,Player Position Group Season Rankings,view bi.player,dashboard Player Position Group Season Rankings
view,bi,player_position_group_regular_season_percentile,dashboard,,Player Position Group Season Rankings,view bi.player_position_group_regular_season_percentile,dashboard Player Position Group Season Rankings
view,bi,player_position_group_regular_season_rank,dashboard,,Player Position Group Season Rankings,view bi.player_position_group_regular_season_rank,dashboard Player Position Group Season Rankings
view,bi,player_regular_season_rank_by_position_group,dashboard,,Player Position Group Season Rankings,view bi.player_regular_season_rank_by_position_group,dashboard Player Position Group Season Rankings
view,bi,player_season,dashboard,,Player Position Group Season Rankings,view bi.player_season,dashboard Player Position Group Season Rankings
